,Male,Female,Other / Not Reported,Total
2005-06," 132,176 "," 179,625 ", -   ," 311,801 "
2006-07," 134,723 "," 183,806 ", -   ," 318,529 "
2007-08," 135,997 "," 180,783 ", -   ," 316,780 "
2008-09," 139,259 "," 183,103 ", -   ," 322,362 "
2009-10," 147,299 "," 189,489 ", 11 ," 336,799 "
2010-11," 152,794 "," 195,722 ", 25 ," 348,541 "
2011-12," 157,955 "," 201,091 ", 18 ," 359,064 "
2012-13," 162,203 "," 205,077 ", 18 ," 367,298 "
2013-14," 165,230 "," 207,922 ", 19 ," 373,171 "
2014-15," 167,376 "," 210,129 ", 15 ," 377,520 "
2015-16," 170,108 "," 212,633 ", 20 ," 382,761 "
2016-17," 172,609 "," 217,894 ", 93 ," 390,596 "
